,Global_reactive_power,Voltage,Global_intensity,Day,Month,Hour,Minutes,total_metering
112132,0.244,243.1,2.0,3,4,14,16,2.0
59053,0.066,240.96,3.0,26,1,17,37,0.0
132610,0.292,233.96,16.9,18,3,19,34,45.0
222186,0.0,236.35,1.0,20,5,0,30,0.0
123059,0.0,243.68,1.0,3,12,4,23,0.0
86976,0.0,243.42,1.2,15,2,3,0,0.0
112176,0.082,242.2,6.4,3,4,15,0,18.0
196390,0.05,236.7,1.6,5,2,2,34,0.0
196459,0.0,237.52,1.6,5,2,3,43,0.0
56353,0.224,239.23,13.6,24,1,20,37,17.0
154503,0.206,240.32,1.8,4,3,0,27,0.0
144102,0.272,239.12,2.8,26,3,19,6,0.0
6765,0.0,237.34,15.2,21,12,10,9,45.0
47627,0.256,237.56,10.4,18,1,19,11,11.0
241328,0.086,233.53,1.4,6,2,7,32,0.0
48262,0.0,238.27,1.0,19,1,5,46,0.0
218145,0.0,236.45,1.0,17,5,5,9,0.0
210192,0.096,234.56,5.6,5,11,16,36,17.0
189671,0.076,233.17,1.2,27,4,10,35,0.0
64116,0.0,245.47,1.0,30,1,6,0,0.0
186448,0.18,235.21,1.2,25,4,4,52,2.0
209682,0.054,234.29,6.0,5,11,8,6,17.0
28776,0.144,242.31,6.4,1,5,17,0,18.0
160294,0.12,241.97,4.4,4,7,0,58,0.0
236827,0.05,236.87,0.8,30,5,4,31,0.0
46629,0.0,243.27,1.0,18,1,2,33,0.0
126634,0.222,243.47,1.8,14,3,15,58,2.0
99697,0.11,244.24,3.4,23,2,23,1,0.0
178810,0.0,238.28,3.6,19,4,21,34,0.0
215359,0.0,235.25,1.4,15,5,6,43,0.0
190266,0.072,236.0,5.2,27,4,20,30,17.0
202289,0.116,236.69,1.2,5,6,4,53,0.0
181669,0.334,234.02,11.0,21,4,21,13,18.0
24726,0.334,239.5,5.6,1,2,21,30,0.0
242712,0.076,237.52,1.2,6,3,6,36,2.0
14116,0.07,240.68,10.4,26,12,12,40,18.0
4498,0.308,240.64,14.0,19,12,20,22,25.0
61328,0.0,243.03,9.6,28,1,7,32,0.0
111917,0.0,240.31,0.8,3,4,10,41,0.0
16299,0.046,243.44,1.0,28,12,1,3,0.0
221924,0.078,235.44,1.6,19,5,20,8,0.0
228515,0.07,233.41,5.6,24,5,9,59,17.0
138457,0.0,239.89,1.4,22,3,21,1,0.0
244974,0.28,235.83,2.4,6,4,20,18,1.0
230895,0.172,234.35,6.0,26,5,1,39,17.0
68104,0.0,244.93,1.0,2,2,0,28,0.0
40724,0.186,235.65,16.9,14,1,0,8,18.0
138395,0.09,235.98,1.8,22,3,19,59,0.0
82971,0.06,238.68,15.2,2,12,8,15,45.0
236151,0.046,232.66,5.4,29,5,17,15,16.0
190665,0.102,239.2976727604501,3.6,28,4,3,9,1.0
107469,0.0,240.68,0.8,3,1,8,33,0.0
31176,0.232,243.17,2.0,1,7,9,0,0.0
1642,0.32,239.63,14.0,17,12,20,46,19.0
216980,0.076,234.07,5.6,16,5,9,44,17.0
55697,0.0,238.9,14.8,24,1,9,41,45.0
220836,0.0,235.72,1.0,19,5,2,0,0.0
208586,0.092,236.62,1.0,5,10,13,50,0.0
144548,0.214,242.35,1.8,27,3,2,32,1.0
91480,0.218,239.46,16.4,18,2,6,4,0.0
215991,0.208,236.87,2.0,15,5,17,15,1.0
154556,0.082,242.06,1.2,4,3,1,20,0.0
112108,0.0,242.38,3.2,3,4,13,52,6.0
78327,0.274,246.49,2.0,2,9,2,51,1.0
227958,0.05,238.31,0.8,24,5,0,42,0.0
172977,0.0,240.4,0.6,15,4,20,21,0.0
31264,0.13,237.86,6.2,1,7,10,28,17.0
245542,0.202,236.15,1.6,6,5,5,46,0.0
145203,0.102,244.25,1.4,27,3,13,27,0.0
32067,0.352,243.39,6.4,1,7,23,51,20.0
1134,0.11,238.48,7.2,17,12,12,18,18.0
77723,0.0,244.37,2.4,2,8,16,47,0.0
125557,0.102,238.97,3.4,13,3,22,1,0.0
134999,0.152,238.24,6.6,20,3,11,23,18.0
191060,0.102,239.2976727604501,3.6,28,4,9,44,1.0
116543,0.0,242.61,5.4,3,7,15,47,18.0
63405,0.206,235.15,9.0,29,1,18,9,17.0
26900,0.0,238.82,9.6,1,4,9,44,18.0
135397,0.0,241.93,1.4,20,3,18,1,0.0
235905,0.0,238.72,1.0,29,5,13,9,0.0
94538,0.07,235.79,14.0,20,2,9,2,17.0
190550,0.102,239.2976727604501,3.6,28,4,1,14,1.0
244889,0.246,229.68,15.2,6,4,18,53,45.0
147499,0.126,244.32,1.4,29,3,3,43,2.0
208720,0.12,236.6,1.0,5,10,16,4,0.0
219211,0.056,235.04,6.8,17,5,22,55,19.0
113374,0.104,240.79,5.8,3,5,10,58,19.0
193700,0.102,239.2976727604501,3.6,30,4,5,44,1.0
16465,0.22,249.09,1.6,28,12,3,49,0.0
112253,0.3,240.99,7.2,3,4,16,17,19.0
136668,0.256,245.53,6.6,21,3,15,12,20.0
236686,0.052,235.39,0.8,30,5,2,10,0.0
248989,0.072,236.25,3.2,6,7,15,13,0.0
71770,0.074,238.61,7.2,2,4,13,34,18.0
128086,0.296,242.33,7.2,15,3,16,10,22.0
167627,0.338,239.82,2.4,4,12,3,11,1.0
246336,0.465,235.14,3.8,6,5,19,0,2.0
247367,0.198,234.58,3.4,6,6,12,11,0.0
200314,0.0,236.65,2.6,5,4,19,58,0.0
107468,0.0,240.64,0.8,3,1,8,32,0.0
237764,0.15,230.34,10.8,30,5,20,8,25.0
113004,0.066,241.09,1.2,3,5,4,48,0.0
42133,0.258,242.7,6.2,14,1,23,37,19.0
141241,0.116,229.31,16.9,24,3,19,25,36.0
141093,0.0,238.89,10.6,24,3,16,57,20.0
25226,0.19,246.32,6.0,1,3,5,50,19.0
62649,0.0,245.53,5.4,29,1,5,33,18.0
64463,0.146,242.27,1.6,30,1,11,47,0.0
75651,0.12,243.96,7.0,2,7,6,15,18.0
158001,0.328,239.7,6.6,4,5,10,45,20.0
704,0.054,240.91,14.0,17,12,5,8,19.0
57072,0.0,239.28,5.2,25,1,8,36,18.0
94597,0.196,237.36,7.4,20,2,10,1,19.0
214735,0.394,234.45,6.2,14,5,20,19,1.0
232011,0.332,230.89,8.6,26,5,20,15,17.0
39004,0.094,237.23,8.6,1,12,19,28,18.0
162846,0.222,240.49,1.8,4,8,19,30,0.0
18798,0.088,231.09,14.6,29,12,18,42,36.0
172839,0.0,240.13,0.6,15,4,18,3,0.0
95776,0.0,241.28,1.0,21,2,5,40,1.0
70423,0.465,244.28,7.6,2,3,15,7,22.0
6789,0.198,240.0,6.2,21,12,10,33,19.0
33389,0.214,238.38,8.4,1,8,21,53,0.0
168622,0.218,239.83,1.8,4,12,19,46,0.0
63282,0.162,244.24,6.0,29,1,16,6,18.0
15381,0.146,241.27,9.0,27,12,9,45,20.0
49221,0.218,236.39,10.2,19,1,21,45,17.0
25849,0.458,246.25,2.8,1,3,16,13,1.0
58371,0.0,244.86,1.0,26,1,6,15,0.0
110205,0.102,243.52,1.2,3,3,6,9,0.0
131038,0.17,236.84,13.6,17,3,17,22,39.0
142401,0.236,244.06,16.6,25,3,14,45,45.0
160173,0.22,241.07,5.8,4,6,22,57,1.0
51253,0.246,241.59,1.8,21,1,7,37,1.0
132755,0.158,235.67,6.2,18,3,21,59,0.0
129335,0.0,241.07,1.2,16,3,12,59,0.0
92451,0.242,239.15,5.8,18,2,22,15,1.0
195229,0.096,236.27,2.2,5,1,7,13,0.0
212542,0.332,237.09,2.0,13,5,7,46,1.0
83782,0.0,238.93,5.4,2,12,21,46,1.0
197934,0.052,233.61,5.0,5,3,4,18,17.0
106915,0.0,247.72,1.0,28,2,23,19,0.0
114580,0.0,241.53,12.2,3,6,7,4,18.0
211315,0.206,233.69,1.6,5,12,11,19,0.0
123610,0.0,237.87,3.6,3,12,13,34,0.0
239909,0.048,233.28,5.4,6,1,7,53,17.0
740,0.0,243.82,5.2,17,12,5,44,0.0
124642,0.0,240.11,7.8,13,3,6,46,18.0
197365,0.0,233.12,0.8,5,2,18,49,0.0
79849,0.124,243.35,1.6,2,10,4,13,0.0
61635,0.284,234.2,16.9,28,1,12,39,45.0
108069,0.0,238.02,0.8,3,1,18,33,0.0
74917,0.0,239.18,2.0,2,6,18,1,0.0
76202,0.226,244.98,10.2,2,7,15,26,20.0
164828,0.12,241.45,1.4,4,10,4,32,0.0
106583,0.126,244.7,1.4,28,2,17,47,1.0
224211,0.0,231.95,5.4,21,5,10,15,17.0
128510,0.092,241.89,3.2,15,3,23,14,0.0
249034,0.06,234.26,3.2,6,7,15,58,0.0
1200,0.108,240.69,6.0,17,12,13,24,17.0
176918,0.234,242.06,1.8,18,4,14,2,0.0
128521,0.192,241.22,3.6,15,3,23,25,0.0
139674,0.362,244.52,2.4,23,3,17,18,2.0
128761,0.0,242.45,2.8,16,3,3,25,0.0
214620,0.338,232.41,15.6,14,5,18,24,45.0
32520,0.116,239.78,2.6,1,8,7,24,0.0
22874,0.24,239.22,6.2,1,1,14,38,18.0
249995,0.094,229.88,7.2,6,8,7,59,16.0
236491,0.062,237.59,5.4,29,5,22,55,17.0
177901,0.122,240.05,1.6,19,4,6,25,0.0
223483,0.192,230.55,16.9,20,5,22,7,37.0
158598,0.23,233.88,16.9,4,5,20,42,45.0
32236,0.0,242.4,5.2,1,8,2,40,18.0
220864,0.126,237.91,1.6,19,5,2,28,1.0
116286,0.382,240.71,7.2,3,7,11,30,18.0
183532,0.154,241.79,2.2,23,4,4,16,0.0
188073,0.214,231.77,9.2,26,4,7,57,20.0
80644,0.0,238.52,5.4,2,10,17,28,17.0
37320,0.16,244.06,1.4,1,11,15,24,0.0
249137,0.06,235.84,3.0,6,7,17,41,1.0
226473,0.054,238.28,1.2,22,5,23,57,1.0
176559,0.288,238.13,6.0,18,4,8,3,19.0
169615,0.346,241.84,2.4,13,4,12,19,2.0
92118,0.154,242.13,6.8,18,2,16,42,21.0
47926,0.144,241.73,1.4,19,1,0,10,0.0
48046,0.15,242.66,1.4,19,1,2,10,0.0
37865,0.0,241.94,1.0,1,12,0,29,1.0
101898,0.14,247.7,1.4,25,2,11,42,1.0
94276,0.102,239.33,9.8,20,2,4,40,0.0
226331,0.0,233.51,2.6,22,5,21,35,0.0
196860,0.086,235.07,0.8,5,2,10,24,0.0
138608,0.0,243.31,5.8,22,3,23,32,18.0
108986,0.0,241.02,0.8,3,2,9,50,0.0
121531,0.076,243.57,10.0,3,11,2,55,2.0
80605,0.11,241.14,5.8,2,10,16,49,18.0
198809,0.238,233.85,6.2,5,3,18,53,17.0
69283,0.0,239.82,4.4,2,2,20,7,0.0
198999,0.0,232.05,15.6,5,3,22,3,45.0
115415,0.134,235.62,16.9,3,6,20,59,45.0
249939,0.052,233.87,1.0,6,8,7,3,1.0
238164,0.152,235.75,1.6,31,5,2,48,1.0
56606,0.15,244.76,1.4,25,1,0,50,0.0
194650,0.094,229.83,11.4,30,4,21,34,35.0
159665,0.0,244.84,1.0,4,6,14,29,0.0
22888,0.272,239.37,11.6,1,1,14,52,18.0
228112,0.288,236.19,2.2,24,5,3,16,1.0
129744,0.122,233.18,16.8,16,3,19,48,35.0
88798,0.118,236.84,1.6,16,2,9,22,0.0
18100,0.0,241.41,9.4,29,12,7,4,0.0
145693,0.226,237.52,9.2,27,3,21,37,14.0
176020,0.332,240.65,7.8,17,4,23,4,17.0
140195,0.08,240.81,5.6,24,3,1,59,18.0
98076,0.368,233.32,14.6,22,2,20,0,21.0
168267,0.0,240.14,0.8,4,12,13,51,0.0
142090,0.048,239.28,10.0,25,3,9,34,0.0
3223,0.048,241.25,10.6,18,12,23,7,37.0
230266,0.078,235.1,1.2,25,5,15,10,2.0
73118,0.216,238.2,2.0,2,5,12,2,0.0
246963,0.176,236.69,1.6,6,6,5,27,0.0
239586,0.046,235.78,1.2,6,1,2,30,0.0
15122,0.0,245.22,6.2,27,12,5,26,19.0
144880,0.08,237.81,5.6,27,3,8,4,17.0
236553,0.07,234.91,1.2,29,5,23,57,0.0
148675,0.212,242.11,6.0,29,3,23,19,18.0
145823,0.36,241.84,2.4,27,3,23,47,1.0
76549,0.08,236.48,14.4,2,7,21,13,17.0
57838,0.0,241.49,12.6,25,1,21,22,18.0
107493,0.234,238.75,1.8,3,1,8,57,1.0
81999,0.08,241.74,1.4,2,11,16,3,1.0
100102,0.122,240.33,1.4,24,2,5,46,0.0
73093,0.0,239.25,1.0,2,5,11,37,0.0
6663,0.302,240.61,4.4,21,12,8,27,1.0
123919,0.074,236.91,5.8,3,12,18,43,19.0
84659,0.0,241.59,2.4,13,2,12,23,0.0
110464,0.0,240.74,1.0,3,3,10,28,0.0
249194,0.056,235.04,3.0,6,7,18,38,0.0
184160,0.162,234.83,5.4,23,4,14,44,19.0
211897,0.354,232.93,16.9,5,12,21,1,45.0
37389,0.238,238.18,16.9,1,11,16,33,45.0
157775,0.0,240.87,9.8,4,5,6,59,18.0
143406,0.26,239.12,9.6,26,3,7,30,20.0
142739,0.318,236.7,14.6,25,3,20,23,20.0
114869,0.102,242.61,1.4,3,6,11,53,1.0
250184,0.11,228.245,16.9,6,8,11,8,45.0
103827,0.108,237.46,1.4,26,2,19,51,0.0
105962,0.116,241.68,5.8,28,2,7,26,18.0
80566,0.146,242.45,7.4,2,10,16,10,18.0
89558,0.0,236.99,10.2,16,2,22,2,17.0
235058,0.064,236.3,10.8,28,5,23,2,37.0
45730,0.218,237.92,16.9,17,1,11,34,45.0
18917,0.248,234.27,15.0,29,12,20,41,37.0
91342,0.062,244.95,1.2,18,2,3,46,0.0
9058,0.206,243.47,1.8,23,12,0,22,0.0
71560,0.06,237.23,16.9,2,4,10,4,37.0
25595,0.18,241.68,5.8,1,3,11,59,18.0
236590,0.05,236.72,0.8,30,5,0,34,0.0
78787,0.122,239.93,5.8,2,9,10,31,18.0
18583,0.168,244.69,5.8,29,12,15,7,18.0
161226,0.0,239.14,2.2,4,7,16,30,0.0
159415,0.178,237.88,5.8,4,6,10,19,18.0
244548,0.072,234.33,1.0,6,4,13,12,0.0
167621,0.336,239.58,2.4,4,12,3,5,1.0
121947,0.05,238.76,9.8,3,11,9,51,2.0
83041,0.0,238.23,5.6,2,12,9,25,20.0
208098,0.1,236.55,1.0,5,10,5,42,0.0
168280,0.11,238.69,1.4,4,12,14,4,0.0
205964,0.328,235.57,4.2,5,8,18,8,2.0
181531,0.465,229.87,16.9,21,4,18,55,45.0
101863,0.132,243.21,1.4,25,2,11,7,0.0
249273,0.39,232.69,3.6,6,7,19,57,2.0
218488,0.0,233.38,1.0,17,5,10,52,0.0
165511,0.0,240.91,1.2,4,10,15,55,0.0
124789,0.094,238.94,5.8,13,3,9,13,18.0
127012,0.166,240.24,3.2,14,3,22,16,1.0
59875,0.19,240.59,7.8,27,1,7,19,18.0
22122,0.106,243.17,10.6,1,1,2,6,0.0
99725,0.2,241.86,3.6,23,2,23,29,1.0
50304,0.242,238.89,6.2,20,1,15,48,19.0
170583,0.148,241.85,1.8,14,4,4,27,0.0
137175,0.308,244.28,14.4,21,3,23,39,40.0
69659,0.0,238.16,14.2,2,3,2,23,18.0
22781,0.128,238.72,11.0,1,1,13,5,0.0
49110,0.23,235.64,6.6,19,1,19,54,0.0
214046,0.278,233.97,6.0,14,5,8,50,19.0
79318,0.142,241.19,5.4,2,9,19,22,2.0
36389,0.162,245.42,1.6,1,10,23,53,0.0
243321,0.254,236.84,2.4,6,3,16,45,2.0
207446,0.094,236.36,5.6,5,9,18,50,19.0
112616,0.05,238.52,5.6,3,4,22,20,18.0
36267,0.234,240.92,4.8,1,10,21,51,0.0
8791,0.216,237.05,12.2,22,12,19,55,17.0
23249,0.0,238.61,1.4,1,1,20,53,0.0
73810,0.104,243.39,1.4,2,5,23,34,0.0
44123,0.112,242.08,1.4,16,1,8,47,1.0
196914,0.11,232.69,2.8,5,2,11,18,0.0
5437,0.0,242.99,5.8,20,12,12,1,18.0
207874,0.052,233.18,5.0,5,10,1,58,17.0
143441,0.0,241.84,6.2,26,3,8,5,18.0
162276,0.0,241.03,3.4,4,8,10,0,0.0
5486,0.0,243.01,5.4,20,12,12,50,18.0
95747,0.116,240.07,1.6,21,2,5,11,0.0
79179,0.098,243.75,1.2,2,9,17,3,0.0
237194,0.066,234.15,5.6,30,5,10,38,19.0
539,0.142,245.35,10.2,17,12,2,23,0.0
15167,0.0,246.6,1.8,27,12,6,11,0.0
231552,0.354,237.16,3.4,26,5,12,36,5.0
108935,0.0,241.02,0.8,3,2,8,59,0.0
107799,0.12,242.75,1.2,3,1,14,3,1.0
177798,0.0,239.89,1.2,19,4,4,42,0.0
67653,0.158,244.89,1.6,2,1,16,57,0.0
103646,0.23,241.66,1.8,26,2,16,50,0.0
76592,0.208,235.63,16.8,2,7,21,56,19.0
9413,0.082,242.59,9.8,23,12,6,17,0.0
194206,0.102,239.2976727604501,3.6,30,4,14,10,1.0
212925,0.12,233.78,5.8,13,5,14,9,16.0
84136,0.092,243.39,1.2,13,2,3,40,0.0
168778,0.0,241.81,0.8,4,12,22,22,0.0
227,0.072,236.44,14.0,16,12,21,11,17.0
128012,0.152,242.02,11.2,15,3,14,56,38.0
194511,0.056,235.32,1.0,30,4,19,15,0.0
149383,0.116,239.92,2.6,30,3,11,7,0.0
200594,0.062,236.49,0.8,5,5,0,38,0.0
221555,0.0,234.46,6.6,19,5,13,59,17.0
42560,0.142,242.55,1.4,15,1,6,44,0.0
184239,0.082,237.31,0.8,23,4,16,3,0.0
74515,0.0,240.86,3.2,2,6,11,19,0.0
160413,0.076,241.27,1.2,4,7,2,57,0.0
130124,0.094,241.29,1.4,17,3,2,8,0.0
178329,0.118,241.52,1.2,19,4,13,33,1.0
49274,0.0,239.22,10.0,19,1,22,38,19.0
95933,0.0,237.87,6.6,21,2,8,17,17.0
15690,0.054,245.0,1.2,27,12,14,54,0.0
93408,0.264,243.86,2.0,19,2,14,12,1.0
94326,0.0,239.4,9.6,20,2,5,30,0.0
142349,0.266,243.64,6.8,25,3,13,53,19.0
153510,0.214,241.25,11.2,4,2,7,54,18.0
99759,0.0,243.35,2.8,24,2,0,3,0.0
204344,0.096,238.02,1.2,5,7,15,8,0.0
136531,0.408,234.14,16.9,21,3,12,55,45.0
161245,0.0,239.72,3.6,4,7,16,49,0.0
184107,0.192,238.44,1.6,23,4,13,51,0.0
6826,0.084,239.49,1.4,21,12,11,10,0.0
180813,0.0,241.79,0.6,21,4,6,57,0.0
1683,0.288,238.01,12.8,17,12,21,27,19.0
134615,0.096,244.0,1.2,20,3,4,59,1.0
206853,0.18,233.01,5.8,5,9,8,57,19.0
102715,0.0,239.42,5.2,26,2,1,19,17.0
210680,0.2,233.16,1.4,5,12,0,44,1.0
243515,0.152,233.91,6.4,6,3,19,59,0.0
32698,0.144,238.0,5.6,1,8,10,22,17.0
84572,0.0,237.89,2.4,13,2,10,56,0.0
204035,0.07,230.02,13.4,5,7,9,59,45.0
154374,0.184,234.97,16.9,4,2,22,18,45.0
22119,0.102,242.42,10.6,1,1,2,3,0.0
89470,0.088,235.57,9.6,16,2,20,34,19.0
15460,0.144,241.45,5.6,27,12,11,4,18.0
107328,0.162,241.23,1.6,3,1,6,12,1.0
125610,0.298,239.87,13.6,13,3,22,54,38.0
137684,0.07,239.76,6.0,22,3,8,8,18.0
111461,0.0,240.25,0.8,3,4,3,5,0.0
98561,0.094,240.45,1.4,23,2,4,5,0.0
115492,0.198,239.42,2.8,3,6,22,16,1.0
113988,0.138,236.78,10.0,3,5,21,12,4.0
20783,0.128,242.28,9.8,31,12,3,47,0.0
227350,0.316,233.47,10.8,23,5,14,34,36.0
10858,0.0,248.0,3.0,24,12,6,22,0.0
240941,0.064,234.45,1.2,6,2,1,5,0.0
126609,0.108,240.55,10.8,14,3,15,33,39.0
176216,0.126,239.41,1.0,18,4,2,20,0.0
79734,0.222,243.16,2.0,2,10,2,18,2.0
28894,0.098,233.39,10.2,1,5,18,58,17.0
111575,0.126,243.15,1.4,3,4,4,59,0.0
695,0.0,244.27,5.4,17,12,4,59,18.0
62578,0.108,244.73,1.4,29,1,4,22,0.0
138860,0.078,245.35,1.2,23,3,3,44,0.0
97229,0.308,240.02,10.6,22,2,5,53,1.0
218891,0.096,238.19,2.4,17,5,17,35,1.0
16523,0.194,247.73,1.6,28,12,4,47,1.0
193182,0.102,239.2976727604501,3.6,29,4,21,6,1.0
134462,0.25,246.52,1.8,20,3,2,26,1.0
153532,0.074,237.09,6.0,4,2,8,16,19.0
98948,0.058,239.56,6.8,23,2,10,32,18.0
213906,0.0,239.73,1.0,14,5,6,30,0.0
8452,0.0,240.63,1.2,22,12,14,16,0.0
152467,0.074,240.3,9.4,4,1,14,31,17.0
180608,0.228,239.64,1.6,21,4,3,32,1.0
126333,0.118,240.56,1.4,14,3,10,57,0.0
75684,0.13,237.74,16.9,2,7,6,48,17.0
213029,0.198,235.77,15.6,13,5,15,53,45.0
146078,0.0,244.69,1.2,28,3,4,2,0.0
136752,0.124,243.46,5.8,21,3,16,36,0.0
151802,0.096,243.22,5.8,4,1,3,26,18.0
186410,0.064,234.56,0.8,25,4,4,14,0.0
136990,0.0,237.81,8.6,21,3,20,34,0.0
146454,0.0,236.49,5.4,28,3,10,18,17.0
90852,0.465,236.09,12.0,17,2,19,36,17.0
243115,0.288,231.87,16.6,6,3,13,19,45.0
179817,0.168,237.94,2.8,20,4,14,21,0.0
208092,0.1,236.35,1.0,5,10,5,36,0.0
109809,0.0,245.34,1.0,3,2,23,33,0.0
84969,0.066,239.81,5.6,13,2,17,33,17.0
184271,0.092,236.99,1.0,23,4,16,35,0.0
44502,0.142,244.5,7.8,16,1,15,6,19.0
220754,0.214,239.39,1.8,19,5,0,38,1.0
198500,0.066,235.36,0.8,5,3,13,44,0.0
136551,0.188,239.1,7.2,21,3,13,15,17.0
151641,0.0,240.76,5.6,4,1,0,45,20.0
169942,0.202,238.84,1.6,13,4,17,46,1.0
160116,0.0,237.01,9.0,4,6,22,0,16.0
154080,0.096,240.85,1.2,4,2,17,24,1.0
160627,0.0,239.14,1.0,4,7,6,31,0.0
100661,0.0,240.45,0.8,24,2,15,5,0.0
166017,0.098,241.66,5.6,4,11,0,21,20.0
132411,0.234,240.73,2.0,18,3,16,15,1.0
57828,0.0,242.62,8.4,25,1,21,12,18.0
153881,0.126,242.78,5.8,4,2,14,5,18.0
186304,0.266,233.83,1.8,25,4,2,28,2.0
149440,0.118,239.65,2.8,30,3,12,4,0.0
62648,0.0,245.54,5.4,29,1,5,32,19.0
89225,0.078,241.68,1.6,16,2,16,29,0.0
92041,0.062,239.52,6.6,18,2,15,25,18.0
153143,0.0,241.79,5.4,4,2,1,47,18.0
146635,0.128,241.81,5.8,28,3,13,19,19.0
117742,0.068,238.54,1.4,3,8,11,46,2.0
179312,0.09,237.04,1.0,20,4,5,56,0.0
104085,0.0,243.53,0.8,27,2,0,9,0.0
209111,0.0,238.35,1.0,5,10,22,35,0.0
149607,0.15,244.68,1.4,30,3,14,51,0.0
165798,0.116,239.76,4.4,4,10,20,42,1.0
249162,0.166,235.22,3.6,6,7,18,6,0.0
167803,0.24,240.88,1.8,4,12,6,7,1.0
150460,0.226,240.37,10.6,31,3,5,4,0.0
116633,0.0,244.02,1.8,3,7,17,17,1.0
20371,0.086,238.04,8.0,30,12,20,55,1.0
180388,0.126,242.37,1.0,20,4,23,52,0.0
33433,0.172,241.74,4.2,1,8,22,37,0.0
79061,0.112,244.52,5.8,2,9,15,5,19.0
220654,0.066,235.5,7.2,18,5,22,58,18.0
47524,0.0,236.86,7.2,18,1,17,28,17.0
146350,0.0,239.77,6.8,28,3,8,34,20.0
4240,0.0,243.7,5.2,19,12,16,4,18.0
7241,0.0,234.22,10.2,21,12,18,5,17.0
233662,0.0,238.79,1.0,27,5,23,46,0.0
109829,0.0,245.11,1.0,3,2,23,53,0.0
156741,0.114,240.26,5.8,4,4,13,45,18.0
171997,0.092,241.98,1.2,15,4,4,1,0.0
184905,0.188,236.26,1.6,24,4,3,9,0.0
30347,0.244,235.05,4.2,1,6,19,11,1.0
105498,0.104,244.12,1.2,27,2,23,42,0.0
242511,0.064,239.92,1.2,6,3,3,15,0.0
51483,0.374,237.01,16.8,21,1,11,27,45.0
148664,0.0,242.14,5.2,29,3,23,8,18.0
170237,0.1,239.52,5.6,13,4,22,41,18.0
19495,0.338,248.29,2.2,30,12,6,19,2.0
172446,0.14,238.43,4.6,15,4,11,30,8.0
201494,0.234,235.22,7.0,5,5,15,38,17.0
73934,0.0,240.45,1.0,2,6,1,38,0.0
11066,0.098,236.65,14.8,24,12,9,50,19.0
74775,0.242,243.19,8.2,2,6,15,39,19.0
188599,0.0,238.45,0.6,26,4,16,43,0.0
167662,0.142,240.59,1.6,4,12,3,46,1.0
69046,0.364,241.24,2.8,2,2,16,10,0.0
17186,0.16,244.23,6.4,28,12,15,50,19.0
72167,0.184,235.36,15.6,2,4,20,11,19.0
130851,0.212,240.21,7.0,17,3,14,15,19.0
158111,0.166,239.91,1.4,4,5,12,35,0.0
125211,0.24,241.72,2.0,13,3,16,15,2.0
194610,0.164,231.5,11.2,30,4,20,54,18.0
11549,0.0,238.7,6.8,24,12,17,53,0.0
95488,0.098,244.2,1.2,21,2,0,52,0.0
210626,0.11,235.44,5.4,5,11,23,50,17.0
21854,0.0,238.54,10.0,31,12,21,38,0.0
161379,0.11,238.71,4.4,4,7,19,3,10.0
149758,0.15,243.88,1.4,30,3,17,22,1.0
51390,0.0,234.32,14.0,21,1,9,54,17.0
91433,0.254,242.93,2.0,18,2,5,17,0.0
242428,0.144,237.75,5.8,6,3,1,52,17.0
45742,0.202,241.35,7.4,17,1,11,46,20.0
142684,0.32,232.5,16.9,25,3,19,28,45.0
65300,0.0,240.85,1.0,31,1,1,44,0.0
240207,0.086,234.62,2.6,6,1,12,51,4.0
133180,0.206,239.96,1.8,19,3,5,4,1.0
10109,0.246,234.25,16.9,23,12,17,53,45.0
135143,0.0,242.83,1.0,20,3,13,47,0.0
141658,0.054,240.91,9.6,25,3,2,22,1.0
24521,0.298,236.17,9.0,1,2,18,5,19.0
96225,0.114,241.95,1.6,21,2,13,9,0.0
145933,0.0,239.26,5.4,28,3,1,37,18.0
103976,0.0,239.73,0.8,26,2,22,20,0.0
109940,0.236,241.4,6.0,3,3,1,44,20.0
240738,0.088,234.72,4.4,6,1,21,42,2.0
139385,0.108,243.23,1.2,23,3,12,29,1.0
76957,0.36,242.81,2.4,2,8,4,1,1.0
161009,0.222,241.9,1.8,4,7,12,53,1.0
117471,0.334,241.59,11.2,3,8,7,15,20.0
113507,0.128,240.62,2.6,3,5,13,11,0.0
61325,0.12,243.58,5.0,28,1,7,29,1.0
240386,0.0,237.25,1.0,6,1,15,50,0.0
152806,0.156,238.15,12.0,4,1,20,10,17.0
71841,0.0,242.17,5.4,2,4,14,45,18.0
47047,0.136,240.55,5.8,18,1,9,31,17.0
23009,0.166,240.81,5.8,1,1,16,53,17.0
172566,0.0,241.08,0.8,15,4,13,30,0.0
12518,0.228,241.91,7.8,25,12,10,2,0.0
66593,0.268,244.86,2.0,31,1,23,17,1.0
117267,0.068,241.76,1.4,3,8,3,51,2.0
245169,0.422,238.82,3.2,6,4,23,33,2.0
108463,0.228,241.14,1.8,3,2,1,7,0.0
67644,0.0,243.8,1.0,2,1,16,48,0.0
19155,0.0,240.73,0.8,30,12,0,39,0.0
171913,0.106,240.92,1.2,15,4,2,37,1.0
245785,0.212,234.61,1.8,6,5,9,49,0.0
151950,0.092,242.89,1.2,4,1,5,54,2.0
71562,0.07,237.49,16.0,2,4,10,6,45.0
153751,0.196,237.98,5.8,4,2,11,55,18.0
155593,0.196,238.93,11.6,4,3,18,37,41.0
